metric: gmean, units: ms
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
| name of test                             | BASELINE  | AVX512_SKX  |  AVX2   | AVX512_SKX vs BASELINE  | AVX2 vs BASELINE  |
| greater_equal::4096   D::1 D::1 -> ?::1  |  0.0150   |   0.0149    | 0.0151  |          1.01           |        1.0        |
| greater_equal::16384  D::1 D::1 -> ?::1  |  0.0788   |   0.0784    | 0.0788  |          1.01           |        1.0        |
| greater_equal::256    F::1 F::1 -> ?::1  |  0.0003   |   0.0003    | 0.0003  |          1.01           |       1.01        |
| greater_equal::4096   F::1 F::1 -> ?::1  |  0.0146   |   0.0144    | 0.0146  |          1.01           |        1.0        |
| greater_equal::16384  F::1 F::1 -> ?::1  |  0.0770   |   0.0773    | 0.0769  |           1.0           |        1.0        |
| greater_equal::256    G::1 G::1 -> ?::1  |  0.0008   |   0.0008    | 0.0008  |           1.0           |       1.01        |
| greater_equal::4096   G::1 G::1 -> ?::1  |  0.0244   |   0.0250    | 0.0251  |          0.98           |       0.97        |
| greater_equal::16384  G::1 G::1 -> ?::1  |  0.1226   |   0.1217    | 0.1231  |          1.01           |        1.0        |
| greater_equal::256    H::1 H::1 -> ?::1  |  0.0000   |   0.0001    | 0.0000  |           0.5           |       1.04        |
| greater_equal::4096   H::1 H::1 -> ?::1  |  0.0003   |   0.0002    | 0.0003  |          1.62           |       1.06        |
| greater_equal::16384  H::1 H::1 -> ?::1  |  0.0014   |   0.0009    | 0.0013  |          1.66           |       1.15        |
| greater_equal::256    I::1 I::1 -> ?::1  |  0.0001   |   0.0000    | 0.0001  |           2.4           |       1.15        |
| greater_equal::4096   I::1 I::1 -> ?::1  |  0.0010   |   0.0004    | 0.0006  |          2.51           |       1.62        |
